iter	Passed	Remaining
0	1	343
1	3	344
2	5	362
3	7	353
4	9	352
5	11	348
6	13	345
7	15	341
8	17	345
9	18	339
10	20	334
11	21	324
12	23	317
13	24	313
14	26	313
15	28	308
16	30	307
17	31	303
18	33	297
19	34	294
20	36	292
21	38	291
22	39	289
23	41	287
24	42	282
25	43	275
26	45	274
27	47	272
28	48	270
29	50	270
30	52	269
31	53	266
32	55	264
33	57	263
34	58	259
35	60	257
36	61	252
37	62	250
38	64	247
39	65	244
40	66	241
41	67	239
42	69	236
43	70	233
44	71	231
45	73	229
46	74	226
47	75	224
48	77	221
49	78	218
50	79	215
51	80	213
52	82	213
53	84	213
54	86	211
55	88	210
56	89	208
57	90	207
58	92	205
59	93	202
60	95	201
61	96	198
62	97	196
63	98	194
64	99	192
65	101	189
66	101	186
67	103	185
68	105	184
69	106	183
70	108	181
71	109	180
72	111	178
73	112	176
74	114	176
75	116	174
76	118	173
77	119	171
78	120	169
79	121	167
80	123	166
81	125	165
82	127	164
83	128	162
84	129	160
85	131	158
86	132	156
87	134	155
88	135	154
89	137	153
90	139	151
91	140	149
92	142	148
93	143	146
94	145	145
95	146	143
96	148	142
97	149	140
98	151	139
99	152	136
100	153	135
101	155	133
102	156	132
103	158	130
104	159	129
105	161	127
106	162	126
107	163	124
108	165	122
109	166	120
110	168	120
111	171	119
112	172	117
113	174	116
114	176	115
115	177	113
116	179	111
117	181	110
118	183	109
119	185	108
120	186	106
121	188	104
122	189	103
123	191	102
124	193	100
125	195	99
126	196	97
127	197	95
128	199	94
129	201	92
130	203	91
131	205	90
132	206	88
133	207	86
134	209	85
135	210	83
136	212	82
137	214	80
138	216	79
139	217	77
140	219	76
141	220	74
142	222	73
143	224	71
144	226	70
145	229	69
146	230	67
147	232	66
148	233	64
149	236	63
150	237	61
151	239	59
152	240	58
153	241	56
154	243	54
155	245	53
156	246	51
157	251	50
158	252	49
159	253	47
160	255	45
161	256	44
162	258	42
163	259	41
164	261	39
165	263	38
166	264	36
167	266	34
168	268	33
169	269	31
170	270	30
171	271	28
172	272	26
173	274	25
174	275	23
175	277	22
176	278	20
177	280	18
178	281	17
179	283	15
180	284	14
181	286	12
182	288	11
183	289	9
184	290	7
185	292	6
186	293	4
187	294	3
188	296	1
189	297	0
